PID   USER     TIME   COMMAND
    1 0          0:38 /init panic_debug
 2579 10001      0:00 {viders.calendar} com.android.providers.calendar
 4941 0          0:00 sh
 5255 0          0:00 [kworker/0:1H]
 5594 10005      0:00 {d.process.media} android.process.media
 6724 0          0:00 [kworker/u9:2]
 6725 0          0:00 [kworker/0:2]
 7034 0          0:00 [kworker/0:1]
 7107 0          0:00 [kworker/u8:0]
 7505 0          0:00 [kworker/0:0H]
 7841 0          0:00 [kworker/u8:2]
 7942 0          0:00 [kworker/0:2H]
 7984 0          0:00 [kworker/0:0]
 8077 0          0:00 [kworker/u8:1]
 8100 0          0:00 busybox ps
